종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2021.06),추정PERlEPS,PBRlBPS (2021.06),배당수익률,동일업종 PER,동일업종 등락률,PERlEPS(2021.09),PBRlBPS (2021.09),배당수익률l2020.12,PERlEPS(2020.12),PBRlBPS (2020.12),PERlEPS(2021.08),PBRlBPS (2021.08),배당수익률l2020.11
영진약품,4365.0,15.0,-0.34%,4335.0,4340.0,272355.0,1188.0,347675.0,2021-11-25,영진약품,003520,,,,,,,,,,,,,,,,,"7,992  억원",코스피 273위,182892731,500원  l  1주,182892731,8194702,4.48%,N/A  l  N/A,"9,780  l  4,360",,N/A  l  N/A,,,86.54배,+0.10%,N/A  l  -67원,7.64배  l  572원,,,,,,
한미약품,267500.0,1000.0,-0.37%,267500.0,268000.0,10768.0,2877.0,18894.0,2021-11-25,한미약품,128940,2968.0,306.0,180.0,10.32,6.06,,,,,1548.0,170.52,,,,,,"3조  2,370  억원",코스피 102위,12078282,"2,500원  l  1주",12078282,1617739,13.39%,"4.00매수  l  367,500","427,000  l  251,000","140.17배  l  1,912원","48.00배  l  5,601원","4.25배  l  63,110원",,86.54배,+0.11%,,,0.18%,,,,,
삼진제약,26150.0,100.0,-0.38%,26150.0,26200.0,44237.0,1161.0,36450.0,2021-11-25,삼진제약,005500,,,,,,,,,,,,,,,,,"3,635  억원",코스피 435위,13900000,"1,000원  l  1주",13900000,1574122,11.32%,N/A  l  N/A,"30,500  l  23,300",,N/A  l  N/A,,,86.54배,+0.10%,"9.90배  l  2,642원","1.37배  l  19,056원",3.06%,,,,,
조아제약 *,3690.0,15.0,-0.40%,3690.0,3695.0,126799.0,469.0,189562.0,2021-11-25,조아제약,034940,,,,,,,,,,,,,,,,,"1,146  억원",코스닥 847위,30979827,500원  l  1주,30979827,338568,1.09%,N/A  l  N/A,"5,850  l  3,680",,N/A  l  N/A,,,86.54배,+0.13%,N/A  l  -196원,"2.13배  l  1,737원",,,,,,
이수앱지스 *,9630.0,40.0,-0.41%,9620.0,9670.0,106735.0,1026.0,169831.0,2021-11-25,이수앱지스,086890,,,,,,,,,,,,,,,,,"3,195  억원",코스닥 291위,33182668,500원  l  1주,33182668,273399,0.82%,N/A  l  N/A,"25,000  l  6,860",N/A  l  -548원,N/A  l  N/A,"4.82배  l  1,997원",,86.54배,+0.10%,,,,,,,,
알리코제약 *,7080.0,30.0,-0.42%,7050.0,7080.0,15637.0,111.0,22348.0,2021-11-25,알리코제약,260660,,,,,,,,,,,,,,,,,"1,085  억원",코스닥 893위,15327021,500원  l  1주,15327021,172952,1.13%,N/A  l  N/A,"11,750  l  7,000",,N/A  l  N/A,,,86.54배,+0.10%,28.78배  l  246원,"1.32배  l  5,347원",0.90%,,,,,
유유제약,6940.0,30.0,-0.43%,6950.0,6960.0,55946.0,390.0,92528.0,2021-11-25,유유제약,000220,,,,,,,,,,,,,,,,,"1,194  억원",코스피 778위,17232351,"1,000원  l  1주",17232351,371048,2.15%,N/A  l  N/A,"18,950  l  5,995",,N/A  l  N/A,,,86.54배,+0.10%,N/A  l  -52원,"1.04배  l  6,642원",1.57%,,,,,
경동제약 *,11550.0,50.0,-0.43%,11500.0,11550.0,142878.0,1654.0,162375.0,2021-11-25,경동제약,011040,,,,,,,,,,,,,,,,,"3,538  억원",코스닥 270위,30768766,500원  l  1주,30768766,2892214,9.40%,N/A  l  N/A,"17,650  l  9,400",34.85배  l  330원,N/A  l  N/A,"1.21배  l  9,538원",,86.54배,+0.10%,,,4.35%,,,,,
아미노로직스 *,2265.0,10.0,-0.44%,2265.0,2280.0,223734.0,507.0,206027.0,2021-11-25,아미노로직스,074430,,,,,,,,,,,,,,,,,"1,985  억원",코스닥 511위,87826844,100원  l  1주,87826844,1046585,1.19%,N/A  l  N/A,"4,355  l  2,205",,N/A  l  N/A,,,86.54배,+0.11%,27.23배  l  83원,3.31배  l  682원,,,,,,
드림씨아이에스 *,11400.0,50.0,-0.44%,11500.0,11550.0,14840.0,169.0,43851.0,2021-11-25,드림씨아이에스,223250,,,,,,,,,,,,,,,,,645  억원,코스닥 1235위,5659054,500원  l  1주,5659054,81286,1.44%,N/A  l  N/A,"22,000  l  9,850",18.15배  l  628원,N/A  l  N/A,"1.72배  l  6,644원",,86.54배,+0.10%,,,,,,,,
종근당,111500.0,500.0,-0.45%,111500.0,112000.0,18413.0,2061.0,26587.0,2021-11-25,종근당,185750,,,,,,,,,,,,,,,,,"1조  2,797  억원",코스피 196위,11426099,"2,500원  l  1주",11426099,898665,7.87%,"4.00매수  l  163,333","273,774  l  110,000",,N/A  l  N/A,,,86.54배,+0.10%,"24.46배  l  4,579원","2.22배  l  50,468원",0.85%,,,,,
셀트리온,210000.0,1000.0,-0.47%,209500.0,210000.0,340835.0,71832.0,671761.0,2021-11-25,셀트리온,068270,5844.0,2162.0,1659.0,37.0,28.38,,,,,1213.0,174.01,28987.0,7.28,,,,"28조  9,689  억원",코스피 12위,137947128,"1,000원  l  1주",137947128,27787554,20.14%,"4.00매수  l  289,727","396,239  l  193,500",,"46.00배  l  4,517원",,,86.54배,+0.10%,"52.41배  l  4,007원","7.52배  l  27,914원",,,,,,
