종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2021.06),추정PERlEPS,PBRlBPS (2021.06),배당수익률,동일업종 PER,동일업종 등락률,PERlEPS(2021.09),PBRlBPS (2021.09),배당수익률l2020.12,PERlEPS(2020.12),PBRlBPS (2020.12),PERlEPS(2021.08),PBRlBPS (2021.08),배당수익률l2020.11
에스티팜 *,113900.0,14800.0,+14.93%,114000.0,114100.0,1015737.0,111141.0,429312.0,2021-11-25,에스티팜,237690,,,,,,,,,,,,,,,,,"2조  1,231  억원",코스닥 19위,18656000,500원  l  1주,18656000,0,0.00%,"4.00매수  l  125,000","145,200  l  66,000",N/A  l  -570원,161.00배  l  706원,"7.17배  l  15,876원",,86.54배,+0.10%,,,,,,,,
진바이오텍 *,5800.0,480.0,+9.02%,5740.0,5750.0,3821421.0,22445.0,4653164.0,2021-11-25,진바이오텍,086060,,,,,,,,,,,,,,,,,498  억원,코스닥 1341위,8610587,500원  l  1주,8610587,190496,2.21%,N/A  l  N/A,"8,220  l  4,700",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -448원,"1.13배  l  5,113원",0.52%,,,,,
차백신연구소 *,11200.0,800.0,+7.69%,11050.0,11100.0,3525525.0,39313.0,1813404.0,2021-11-25,차백신연구소,261780,,,,,,,,,,,,,,,,,"2,960  억원",코스닥 335위,26429162,500원  l  1주,26429162,62130,0.24%,N/A  l  N/A,"14,900  l  9,740",,N/A  l  N/A,,,86.54배,+0.11%,,,,N/A  l  N/A,N/A  l  N/A,,,
에이비온 *,12700.0,750.0,+6.28%,12450.0,12500.0,213714.0,2737.0,38564.0,2021-11-25,에이비온,203400,,,,,,,,,,,,,,,,,"2,274  억원",코스닥 429위,17977928,500원  l  1주,17977928,99655,0.55%,N/A  l  N/A,"26,450  l  6,240",,N/A  l  N/A,,,86.54배,+0.10%,,,,N/A  l  -756원,"N/A  l  -4,980원",,,
HK이노엔 *,60700.0,3000.0,+5.20%,60700.0,60800.0,614938.0,36799.0,457291.0,2021-11-25,HK이노엔,195940,1758.0,158.0,,8.99,,,,,,317.0,175.19,,,,,,"1조  7,516  억원",코스닥 30위,28904499,500원  l  1주,28904499,507451,1.76%,"4.00매수  l  73,000","80,300  l  49,200","42.35배  l  1,431원",N/A  l  N/A,"1.75배  l  34,625원",,86.54배,+0.10%,,,,,,,,
동아쏘시오홀딩스,116500.0,5500.0,+4.95%,117000.0,117500.0,32489.0,3716.0,22059.0,2021-11-25,동아쏘시오홀딩스,000640,2095.0,132.0,156.0,6.3,7.45,,,,,2458.0,45.16,148496.0,0.75,,,,"7,363  억원",코스피 288위,6347506,"5,000원  l  1주",6347506,762174,12.01%,"4.00매수  l  155,000","157,500  l  99,500",,N/A  l  N/A,,,86.54배,+0.13%,"3.37배  l  34,437원","0.74배  l  157,466원",0.86%,,,,,
일동제약,16050.0,650.0,+4.22%,15850.0,15900.0,125426.0,1972.0,126808.0,2021-11-25,일동제약,249420,,,,,,,,,,,,,,,,,"3,832  억원",코스피 417위,23803285,"1,000원  l  1주",23803285,1061856,4.46%,"4.00매수  l  22,000","21,450  l  12,400",,N/A  l  N/A,,,86.54배,+0.11%,"N/A  l  -1,046원","1.58배  l  10,209원",,,,,,
휴온스글로벌 *,41800.0,1650.0,+4.11%,41700.0,41750.0,116628.0,4927.0,28595.0,2021-11-25,휴온스글로벌,084110,,,,,,,,,,,,,,,,,"5,029  억원",코스닥 172위,12030289,500원  l  1주,12030289,1268678,10.55%,3.00중립  l  N/A,"82,300  l  25,900","12.54배  l  3,333원",N/A  l  N/A,"1.18배  l  35,553원",,86.54배,+0.10%,,,0.91%,,,,,
휴메딕스 *,24800.0,900.0,+3.77%,24750.0,24800.0,40492.0,999.0,14959.0,2021-11-25,휴메딕스,200670,,,,,,,,,,,,,,,,,"2,468  억원",코스닥 399위,9971194,500원  l  1주,9971194,597269,5.99%,N/A  l  N/A,"44,600  l  20,350","15.44배  l  1,603원",N/A  l  N/A,"1.90배  l  12,995원",,86.54배,+0.10%,,,1.62%,,,,,
지트리비앤티 *,15350.0,550.0,+3.72%,15350.0,15400.0,410790.0,6281.0,245000.0,2021-11-25,지트리비앤티,115450,,,,,,,,,,,,,,,,,"4,144  억원",코스닥 221위,27088019,500원  l  1주,27088019,571795,2.11%,N/A  l  N/A,"33,550  l  9,520",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -625원,"5.11배  l  2,992원",,,,,,
코스맥스엔비티 *,6430.0,220.0,+3.54%,6350.0,6360.0,70367.0,443.0,52548.0,2021-11-25,코스맥스엔비티,222040,865.0,47.0,,5.43,,,,,,,,,,,,,"1,322  억원",코스닥 757위,20628000,500원  l  1주,20628000,392820,1.90%,N/A  l  N/A,"12,900  l  5,950",N/A  l  -449원,N/A  l  N/A,"2.31배  l  2,769원",,86.54배,+0.13%,,,,,,,,
보령제약,14250.0,450.0,+3.26%,14200.0,14250.0,233215.0,3258.0,144641.0,2021-11-25,보령제약,003850,,,,,,,,,,,,,,,,,"9,788  억원",코스피 239위,68690000,500원  l  1주,68690000,4761972,6.93%,"4.00매수  l  18,400","24,734  l  12,668",31.32배  l  455원,28.00배  l  516원,"2.46배  l  5,792원",,86.54배,+0.10%,,,0.53%,,,,,
프롬바이오 *,11900.0,350.0,+3.03%,11950.0,12000.0,261670.0,3106.0,286302.0,2021-11-25,프롬바이오,377220,,,,,,,,,,,,,,,,,"1,677  억원",코스닥 612위,14155000,100원  l  1주,14155000,32126,0.23%,N/A  l  N/A,"24,250  l  11,050",,N/A  l  N/A,,,86.54배,+0.13%,,,,N/A  l  -857원,"2.65배  l  4,477원",,,
코오롱생명과학 *,34300.0,1000.0,+3.00%,34100.0,34200.0,43928.0,1482.0,57195.0,2021-11-25,코오롱생명과학,102940,,,,,,,,,,,,,,,,,"3,886  억원",코스닥 243위,11412356,500원  l  1주,11412356,248620,2.18%,N/A  l  N/A,"40,100  l  17,850","N/A  l  -2,515원",N/A  l  N/A,"6.04배  l  5,636원",,86.54배,+0.13%,,,,,,,,
에이디엠코리아 *,4390.0,125.0,+2.93%,4370.0,4395.0,91515.0,402.0,49587.0,2021-11-25,에이디엠코리아,187660,,,,,,,,,,,,,,,,,959  억원,코스닥 981위,21836250,100원  l  1주,21836250,98376,0.45%,N/A  l  N/A,"11,000  l  4,210",,N/A  l  N/A,,,86.54배,+0.13%,,,,20.05배  l  219원,"2.92배  l  1,501원",,,
엔지켐생명과학 *,57100.0,1600.0,+2.88%,57100.0,57300.0,96923.0,5447.0,77701.0,2021-11-25,엔지켐생명과학,183490,,,,,,,,,,,,,,,,,"4,749  억원",코스닥 183위,8331345,500원  l  1주,8331345,685583,8.23%,N/A  l  N/A,"146,957  l  53,900","N/A  l  -2,541원",N/A  l  N/A,"5.58배  l  10,224원",,86.54배,+0.10%,,,,,,,,
압타바이오 *,39650.0,1100.0,+2.85%,39650.0,39700.0,648849.0,25756.0,2525566.0,2021-11-25,압타바이오,293780,,,,,,,,,,,,,,,,,"8,812  억원",코스닥 90위,22196466,500원  l  1주,22196466,800695,3.61%,N/A  l  N/A,"62,100  l  16,316",N/A  l  -357원,N/A  l  N/A,"13.16배  l  3,016원",,86.54배,+0.13%,,,,,,,,
파마리서치 *,79600.0,1900.0,+2.45%,79600.0,79700.0,67160.0,5329.0,57616.0,2021-11-25,파마리서치,214450,405.0,149.0,130.0,36.89,32.02,,,,,1228.0,63.26,29681.0,2.62,,,,"8,049  억원",코스닥 96위,10111930,500원  l  1주,10111930,1348276,13.33%,"4.00매수  l  110,000","101,700  l  53,500",,"16.00배  l  4,834원",,,86.54배,+0.13%,"17.00배  l  4,683원","2.77배  l  28,768원",0.63%,,,,,
부광약품,13150.0,300.0,+2.33%,13050.0,13100.0,277904.0,3601.0,322365.0,2021-11-25,부광약품,003000,,,,,,,,,,,,,,,,,"9,345  억원",코스피 246위,71063049,500원  l  1주,71063049,4330615,6.09%,N/A  l  N/A,"32,713  l  12,300",,N/A  l  N/A,,,86.54배,+0.10%,N/A  l  -62원,"3.61배  l  3,643원",0.69%,,,,,
SK바이오사이언스,254000.0,5500.0,+2.21%,254500.0,255000.0,386588.0,97294.0,606881.0,2021-11-25,SK바이오사이언스,302440,5264.0,2595.0,2201.0,49.29,41.81,,,,,2877.0,86.38,19515.0,12.73,,,,"19조  4,692  억원",코스피 22위,76500000,500원  l  1주,76500000,4721863,6.17%,"4.00매수  l  322,143","362,000  l  111,500",,"50.00배  l  5,077원",,,86.54배,+0.13%,"98.00배  l  2,597원","13.71배  l  18,565원",,,,,,
에이치엘비제약 *,14500.0,250.0,+1.75%,14550.0,14600.0,242667.0,3432.0,211027.0,2021-11-25,에이치엘비제약,047920,,,,,,,,,,,,,,,,,"3,775  억원",코스닥 252위,26036258,500원  l  1주,26036258,227220,0.87%,N/A  l  N/A,"30,200  l  12,000",,N/A  l  N/A,,,86.54배,+0.11%,"N/A  l  -3,719원","6.18배  l  2,347원",,,,,,
더블유에스아이 *,2425.0,40.0,+1.68%,2405.0,2425.0,28607.0,68.0,78945.0,2021-11-25,더블유에스아이,299170,,,,,,,,,,,,,,,,,709  억원,코스닥 1176위,29237963,100원  l  1주,29237963,3065,0.01%,N/A  l  N/A,"5,800  l  2,330",,N/A  l  N/A,,,86.54배,+0.10%,,,,N/A  l  -58원,2.62배  l  927원,,,
녹십자홀딩스,26550.0,400.0,+1.53%,26350.0,26400.0,82078.0,2150.0,98691.0,2021-11-25,녹십자홀딩스,005250,,,,,,,,,,,,,,,,,"1조  2,486  억원",코스피 202위,47028210,500원  l  1주,47028210,2553932,5.43%,N/A  l  N/A,"56,300  l  26,000","8.19배  l  3,242원",N/A  l  N/A,"1.30배  l  20,381원",,86.54배,+0.10%,,,1.88%,,,,,
일동홀딩스,14100.0,200.0,+1.44%,13950.0,14000.0,20610.0,284.0,12304.0,2021-11-25,일동홀딩스,000230,,,,,,,,,,,,,,,,,"1,639  억원",코스피 684위,11540400,"1,000원  l  1주",11540400,251491,2.18%,N/A  l  N/A,"17,350  l  10,150",,N/A  l  N/A,,,86.54배,+0.10%,"N/A  l  -2,866원","1.62배  l  8,761원",0.70%,,,,,
위더스제약 *,10050.0,140.0,+1.41%,10000.0,10050.0,14224.0,142.0,32283.0,2021-11-25,위더스제약,330350,,,,,,,,,,,,,,,,,"1,325  억원",코스닥 755위,13188622,200원  l  1주,13188622,130831,0.99%,N/A  l  N/A,"17,200  l  9,750",,N/A  l  N/A,,,86.54배,+0.10%,32.74배  l  307원,"1.67배  l  6,033원",0.32%,,,,,
이글벳 *,8130.0,110.0,+1.37%,8050.0,8060.0,71137.0,570.0,193076.0,2021-11-25,이글벳,044960,,,,,,,,,,,,,,,,,"1,027  억원",코스닥 933위,12641883,500원  l  1주,12641883,207259,1.64%,N/A  l  N/A,"13,200  l  6,900",,N/A  l  N/A,,,86.54배,+0.13%,22.25배  l  365원,"2.42배  l  3,351원",0.49%,,,,,
제일약품,31100.0,400.0,+1.30%,30900.0,30950.0,18030.0,553.0,16102.0,2021-11-25,제일약품,271980,,,,,,,,,,,,,,,,,"4,573  억원",코스피 375위,14704872,500원  l  1주,14704872,405495,2.76%,N/A  l  N/A,"94,900  l  30,600",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -77원,"2.58배  l  12,055원",0.22%,,,,,
안트로젠 *,58100.0,700.0,+1.22%,57100.0,57200.0,87882.0,4988.0,113225.0,2021-11-25,안트로젠,065660,,,,,,,,,,,,,,,,,"5,465  억원",코스닥 154위,9421845,500원  l  1주,9421845,998647,10.60%,N/A  l  N/A,"101,500  l  46,650",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -145원,"5.03배  l  11,535원",,,,,,
국제약품,5370.0,60.0,+1.13%,5360.0,5380.0,72781.0,387.0,44430.0,2021-11-25,국제약품,002720,,,,,,,,,,,,,,,,,"1,035  억원",코스피 844위,19276090,"1,000원  l  1주",19276090,292535,1.52%,N/A  l  N/A,"12,803  l  5,280",,N/A  l  N/A,,,86.54배,+0.10%,N/A  l  -98원,"1.37배  l  3,919원",,,,,,
동아에스티,72100.0,700.0,+0.98%,72100.0,72300.0,14716.0,1056.0,17249.0,2021-11-25,동아에스티,170900,,,,,,,,,,,,,,,,,"6,097  억원",코스피 325위,8444213,"5,000원  l  1주",8444213,1665369,19.72%,"4.00매수  l  103,333","101,000  l  70,900",N/A  l  -398원,N/A  l  N/A,"0.96배  l  75,409원",,86.54배,+0.13%,,,1.38%,,,,,
녹십자,228500.0,2000.0,+0.88%,227500.0,228000.0,24041.0,5469.0,44754.0,2021-11-25,녹십자,006280,4830.0,356.0,317.0,7.37,6.56,,,,,3162.0,71.64,104287.0,2.17,,,,"2조  6,704  억원",코스피 122위,11686538,"5,000원  l  1주",11686538,2637792,22.57%,"4.00매수  l  387,143","538,000  l  224,500",,"26.00배  l  8,810원",,,86.54배,+0.10%,"30.96배  l  7,381원","2.21배  l  103,299원",0.66%,,,,,
에이치엘비생명과학 *,13050.0,100.0,+0.77%,13000.0,13050.0,931304.0,11871.0,829056.0,2021-11-25,에이치엘비생명과학,067630,,,,,,,,,,,,,,,,,"1조  2,415  억원",코스닥 50위,95498081,500원  l  1주,95498081,6914960,7.24%,N/A  l  N/A,"23,000  l  7,249",,N/A  l  N/A,,,86.54배,+0.13%,N/A  l  -302원,"4.05배  l  3,210원",,,,,,
셀트리온제약 *,123000.0,900.0,+0.74%,122900.0,123000.0,126269.0,15635.0,185569.0,2021-11-25,셀트리온제약,068760,,,,,,,,,,,,,,,,,"4조  4,957  억원",코스닥 7위,36550811,500원  l  1주,36550811,2623798,7.18%,N/A  l  N/A,"268,871  l  109,400",127.07배  l  968원,N/A  l  N/A,"14.15배  l  8,690원",,86.54배,+0.10%,,,,,,,,
안국약품 *,9940.0,50.0,+0.51%,9930.0,9940.0,15488.0,155.0,12281.0,2021-11-25,안국약품,001540,,,,,,,,,,,,,,,,,"1,295  억원",코스닥 764위,13042420,500원  l  1주,13042420,473575,3.63%,N/A  l  N/A,"17,150  l  9,600",,N/A  l  N/A,,,86.54배,+0.13%,92.80배  l  107원,"0.80배  l  12,486원",2.22%,,,,,
팜스빌 *,10250.0,50.0,+0.49%,10200.0,10300.0,19827.0,201.0,18926.0,2021-11-25,팜스빌,318010,,,,,,,,,,,,,,,,,813  억원,코스닥 1087위,7929338,500원  l  1주,7929338,280223,3.53%,N/A  l  N/A,"19,650  l  9,500",,N/A  l  N/A,,,86.54배,+0.13%,17.98배  l  570원,"1.35배  l  7,569원",0.98%,,,,,
국전약품 *,10750.0,50.0,+0.47%,10750.0,10800.0,631042.0,6829.0,985386.0,2021-11-25,국전약품,307750,,,,,,,,,,,,,,,,,"5,275  억원",코스닥 160위,49069269,100원  l  1주,49069269,118332,0.24%,N/A  l  N/A,"24,900  l  4,230",,N/A  l  N/A,,,86.54배,+0.10%,,,,N/A  l  -80원,"6.42배  l  1,674원",,,
디에이치피코리아 *,7110.0,30.0,+0.42%,7080.0,7100.0,17929.0,127.0,18908.0,2021-11-25,디에이치피코리아,131030,,,,,,,,,,,,,,,,,"1,174  억원",코스닥 835위,16564797,500원  l  1주,16564797,706879,4.27%,N/A  l  N/A,"9,450  l  6,580",,N/A  l  N/A,,,86.54배,+0.10%,12.55배  l  565원,"0.92배  l  7,689원",1.41%,,,,,
동화약품,13500.0,50.0,+0.37%,13500.0,13550.0,140094.0,1889.0,344250.0,2021-11-25,동화약품,000020,,,,,,,,,,,,,,,,,"3,785  억원",코스피 421위,27931470,"1,000원  l  1주",27931470,821428,2.94%,N/A  l  N/A,"25,500  l  13,400",,N/A  l  N/A,,,86.54배,+0.13%,19.00배  l  713원,"1.10배  l  12,302원",1.33%,,,,,
JW생명과학,14300.0,50.0,+0.35%,14200.0,14250.0,19004.0,270.0,24947.0,2021-11-25,JW생명과학,234080,,,,,,,,,,,,,,,,,"2,248  억원",코스피 586위,15834554,"2,500원  l  1주",15834554,454497,2.87%,N/A  l  N/A,"24,000  l  13,700",17.32배  l  820원,N/A  l  N/A,"1.71배  l  8,291원",,86.54배,+0.13%,,,3.52%,,,,,
비씨월드제약 *,15200.0,50.0,+0.33%,15150.0,15200.0,21351.0,323.0,36106.0,2021-11-25,비씨월드제약,200780,,,,,,,,,,,,,,,,,"1,352  억원",코스닥 741위,8892384,200원  l  1주,8892384,151934,1.71%,N/A  l  N/A,"28,650  l  15,000",,N/A  l  N/A,,,86.54배,+0.13%,43.55배  l  349원,"1.24배  l  12,236원",0.66%,,,,,
휴온스 *,48800.0,150.0,+0.31%,48800.0,48850.0,19735.0,967.0,12602.0,2021-11-25,휴온스,243070,1207.0,161.0,,13.34,,,,,,,,24483.0,1.99,,,,"5,294  억원",코스닥 159위,10859671,500원  l  1주,10859671,2324822,21.41%,"4.00매수  l  81,000","86,500  l  47,450",,N/A  l  N/A,,,86.54배,+0.13%,"9.72배  l  5,013원","1.97배  l  24,728원",1.12%,,,,,
진양제약 *,6740.0,20.0,+0.30%,6680.0,6700.0,74558.0,497.0,55452.0,2021-11-25,진양제약,007370,,,,,,,,,,,,,,,,,811  억원,코스닥 1090위,12000000,500원  l  1주,12000000,235720,1.96%,N/A  l  N/A,"9,230  l  5,360",,N/A  l  N/A,,,86.54배,+0.13%,10.18배  l  664원,"1.16배  l  5,814원",1.48%,,,,,
환인제약,17450.0,50.0,+0.29%,17400.0,17450.0,20625.0,359.0,19160.0,2021-11-25,환인제약,016580,460.0,60.0,57.0,13.06,12.4,,,,,306.0,56.78,20757.0,0.84,,,,"3,246  억원",코스피 477위,18600070,500원  l  1주,18600070,2690191,14.46%,"4.00매수  l  26,500","23,550  l  15,250",,N/A  l  N/A,,,86.54배,+0.10%,"11.82배  l  1,476원","0.85배  l  20,582원",1.72%,,,,,
JW신약 *,3630.0,10.0,+0.28%,3610.0,3630.0,59225.0,214.0,80472.0,2021-11-25,JW신약,067290,,,,,,,,,,,,,,,,,"1,601  억원",코스닥 642위,43936858,500원  l  1주,43936858,671630,1.53%,N/A  l  N/A,"6,260  l  3,405",N/A  l  -76원,N/A  l  N/A,"2.90배  l  1,258원",,86.54배,+0.13%,,,,,,,,
하나제약,19750.0,50.0,+0.25%,19650.0,19750.0,16659.0,326.0,7395.0,2021-11-25,하나제약,293480,551.0,105.0,87.0,19.06,15.79,,,,,490.0,40.24,14715.0,1.34,,,,"3,501  억원",코스피 446위,17772946,500원  l  1주,17772946,180201,1.01%,"4.00매수  l  31,000","26,084  l  19,500",,N/A  l  N/A,,,86.54배,+0.13%,20.91배  l  942원,"1.39배  l  14,149원",2.36%,,,,,
에이치엘사이언스 *,32400.0,50.0,+0.15%,32350.0,32400.0,1618.0,52.0,5411.0,2021-11-25,에이치엘사이언스,239610,,,,,,,,,,,,,,,,,"1,747  억원",코스닥 590위,5392115,500원  l  1주,5392115,50574,0.94%,N/A  l  N/A,"46,310  l  31,600",,N/A  l  N/A,,,86.54배,+0.11%,"11.39배  l  2,845원","1.63배  l  19,882원",1.18%,,,,,
고려제약 *,8790.0,10.0,+0.11%,8720.0,8750.0,16465.0,144.0,34786.0,2021-11-25,고려제약,014570,,,,,,,,,,,,,,,,,967  억원,코스닥 972위,11000000,500원  l  1주,11000000,245352,2.23%,N/A  l  N/A,"12,500  l  8,560",,N/A  l  N/A,,,86.54배,+0.10%,13.08배  l  672원,"1.28배  l  6,878원",1.71%,,,,,
