종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
295000,6,KBSTAR 국채선물10년,54130,5,-40,-0.07,54153.0,-3.8602,292,15,47,채권,KBSTAR,False,False,False
227550,2,TIGER 200 산업재,5960,5,-30,-0.5,5969.0,-13.5643,86,0,46,국내 업종/테마,TIGER,False,False,False
333980,2,ARIRANG KS퀄리티가중TR,15480,5,-40,-0.26,15475.0,-1.9893,21,0,46,국내 업종/테마,ARIRANG,False,False,False
157500,2,TIGER 증권,4705,5,-10,-0.21,4710.0,0.8556,8588,40,46,국내 업종/테마,TIGER,False,False,False
253240,3,KOSEF 200선물인버스,5250,2,30,0.57,5249.0,1.3592,165,0,45,국내 파생,KOSEF,True,False,False
280920,2,ARIRANG 주도업종,11020,5,-65,-0.59,11010.0,-5.3778,55,0,44,국내 업종/테마,ARIRANG,False,False,False
147970,2,TIGER 모멘텀,24255,5,-200,-0.82,24540.0,1.5573,3,0,44,국내 업종/테마,TIGER,False,False,False
334690,5,KBSTAR 팔라듐선물(H),10885,5,-500,-4.39,,-14.0106,40455,437,44,원자재,KBSTAR,False,False,True
280940,4,KODEX 골드선물인버스(H),7210,2,50,0.7,,-1.7833,2376,17,43,해외 주식,KODEX,True,False,True
217770,4,TIGER 원유선물인버스(H),5070,5,-195,-3.7,,-19.557,32717,166,43,해외 주식,TIGER,True,False,True
285010,2,KBSTAR 200중공업,10105,5,-115,-1.13,10124.0,-1.6362,28301,285,42,국내 업종/테마,KBSTAR,False,False,False
287300,2,KBSTAR 200건설,12400,2,35,0.28,12441.0,2.0214,1500,18,42,국내 업종/테마,KBSTAR,False,False,False
295020,6,KBSTAR 국채선물10년인버스,48875,2,40,0.08,48822.0,4.0925,6,0,42,채권,KBSTAR,True,False,False
309210,2,ARIRANG KRX300헬스케어,11055,3,0,0.0,11134.0,-20.0362,10391,115,42,국내 업종/테마,ARIRANG,False,False,False
342600,6,KBSTAR KRX국채선물3년10년스티프너2X,51590,2,5,0.01,51606.0,-0.3381,15,0,41,채권,KBSTAR,False,False,False
342500,6,KBSTAR KRX국채선물3년10년스티프너,51095,5,-25,-0.05,51120.0,-0.0978,245,12,41,채권,KBSTAR,False,False,False
266550,2,ARIRANG 중형주저변동50,11595,2,25,0.22,11585.0,1.3578,15,0,41,국내 업종/테마,ARIRANG,False,False,False
291890,4,KODEX MSCI EM선물(H),10080,5,-5,-0.05,,1.5609,351,3,40,해외 주식,KODEX,False,False,True
291620,3,KOSEF 코스닥150선물인버스,7550,5,-20,-0.26,7545.0,-5.3159,6185,47,40,국내 파생,KOSEF,True,False,False
342610,6,KBSTAR KRX국채선물3년10년플래트너,49980,5,-60,-0.12,50002.0,0.4012,16,0,40,채권,KBSTAR,False,False,False
267450,4,KBSTAR 미국장기국채선물인버스(H),7950,2,25,0.32,,1.6025,696,5,40,해외 주식,KBSTAR,True,False,True
302180,6,TIGER 국채선물10년인버스,49595,2,80,0.16,49587.0,4.0012,4,0,40,채권,TIGER,True,False,False
342620,6,KBSTAR KRX국채선물3년10년플래트너2X,49370,2,25,0.05,49359.0,0.5809,11,0,39,채권,KBSTAR,False,False,False
227560,2,TIGER 200 생활소비재,10170,5,-50,-0.49,10170.0,-7.8865,1402,14,39,국내 업종/테마,TIGER,False,False,False
267490,4,KBSTAR 미국장기국채선물레버리지(합성 H),12590,5,-110,-0.87,,-10.5949,1,0,38,해외 주식,KBSTAR,False,True,True
278420,2,ARIRANG ESG우수기업,9215,2,15,0.16,9212.0,-2.2836,178,1,37,국내 업종/테마,ARIRANG,False,False,False
315480,2,KBSTAR 200커뮤니케이션서비스,20305,5,-55,-0.27,20278.0,-4.1883,13361,270,37,국내 업종/테마,KBSTAR,False,False,False
217790,2,TIGER 가격조정,23885,5,-190,-0.79,23989.0,-1.8749,2,0,33,국내 업종/테마,TIGER,False,False,False
